function,optimizer,min_abs_loss,last_abs_loss,rank
Ackley Function,SGD,0.0,,1.0
Ackley Function,Adam,0.0,,1.0
Ackley Function,AdamW,0.0,,1.0
Ackley Function,RMSprop,0.0,,1.0
Ackley Function,Yogi,0.0,,1.0
Ackley Function,Rprop,0.0,0.0,1.0
Ackley Function,RPropMomentum,0.0,0.0,1.0
Ackley Function,RpropwithPolyak,0.0,0.0,1.0
Ackley Function,SGDPolyakMomentum,0.0,,1.0
Ackley Function,ProxYogi,0.0,,1.0
Ackley Function,ProximalHB,0.0,,1.0
Ackley Function,AdamQN,0.0,,1.0
Ackley Function,AMSGradMirror,0.0,,1.0
Bukin Function N. 6,RPropMomentum,0.44987478852272034,0.45256680250167847,1.0
Bukin Function N. 6,Rprop,1.3190414905548096,1.3190414905548096,2.0
Bukin Function N. 6,RpropwithPolyak,1.3190414905548096,1.3190414905548096,2.0
Bukin Function N. 6,SGDPolyakMomentum,3.7800467014312744,31.497488021850586,4.0
Bukin Function N. 6,SGD,4.628806114196777,257.6177062988281,5.0
Bukin Function N. 6,ProximalHB,25.137086868286133,207.48287963867188,6.0
Bukin Function N. 6,ProxYogi,81.70259857177734,81.70259857177734,7.0
Bukin Function N. 6,RMSprop,91.64002227783203,91.64002227783203,8.0
Bukin Function N. 6,AMSGradMirror,94.92538452148438,94.92538452148438,9.0
Bukin Function N. 6,AdamQN,96.25511169433594,96.25511169433594,10.0
Bukin Function N. 6,AdamW,96.95687866210938,96.95687866210938,11.0
Bukin Function N. 6,Adam,97.00666809082031,97.00666809082031,12.0
Bukin Function N. 6,Yogi,97.02490997314453,97.02490997314453,13.0
Cross-in-Tray Function,SGD,,,
Cross-in-Tray Function,Adam,,,
Cross-in-Tray Function,AdamW,,,
Cross-in-Tray Function,RMSprop,,,
Cross-in-Tray Function,Yogi,,,
Cross-in-Tray Function,Rprop,,,
Cross-in-Tray Function,RPropMomentum,,,
Cross-in-Tray Function,RpropwithPolyak,,,
Cross-in-Tray Function,SGDPolyakMomentum,,,
Cross-in-Tray Function,ProxYogi,,,
Cross-in-Tray Function,ProximalHB,,,
Cross-in-Tray Function,AdamQN,,,
Cross-in-Tray Function,AMSGradMirror,,,
Drop-Wave Function,SGD,1.0,,1.0
Drop-Wave Function,Adam,1.0,,1.0
Drop-Wave Function,AdamW,1.0,,1.0
Drop-Wave Function,RMSprop,1.0,,1.0
Drop-Wave Function,Yogi,1.0,,1.0
Drop-Wave Function,Rprop,1.0,1.0,1.0
Drop-Wave Function,RPropMomentum,1.0,1.0,1.0
Drop-Wave Function,RpropwithPolyak,1.0,1.0,1.0
Drop-Wave Function,SGDPolyakMomentum,1.0,,1.0
Drop-Wave Function,ProxYogi,1.0,,1.0
Drop-Wave Function,ProximalHB,1.0,,1.0
